date,scenic_id,scenic_name,altitude,scenic_type,temp_mean,temp_max,temp_min,rain_sum,snow_sum,weather_code,weather_desc,is_holiday,holiday_name,is_weekend,holiday_length,weekday,weather_factor,altitude_factor,holiday_factor,seasonal_factor,visitor_count
2024-01-05,2,玉舍国家森林公园,2300,forest,7.4,11.7,5.4,0.9,0.0,51,小雨,0,,0,0,5,0.8,0.962,1.0,0.75,642
2024-01-05,3,乌蒙大草原,2857,grassland,7.4,11.7,5.4,0.9,0.0,51,小雨,0,,0,0,5,0.8,0.952,1.0,0.75,1012
2024-01-05,4,水城古镇,1800,ancient_town,7.4,11.7,5.4,0.9,0.0,51,小雨,0,,0,0,5,0.9,0.97,1.0,0.75,670
2024-01-05,5,明湖国家湿地公园,1750,wetland,7.4,11.7,5.4,0.9,0.0,51,小雨,0,,0,0,5,0.8,0.971,1.0,0.75,547
2024-01-06,1,梅花山风景区,2400,mountain,7.4,11.1,5.8,1.4,0.0,51,小雨,0,,1,0,6,0.8,0.96,1.6,0.75,1365
2024-01-06,2,玉舍国家森林公园,2300,forest,7.4,11.1,5.8,1.4,0.0,51,小雨,0,,1,0,6,0.8,0.962,1.6,0.75,1128
2024-01-06,3,乌蒙大草原,2857,grassland,7.4,11.1,5.8,1.4,0.0,51,小雨,0,,1,0,6,0.8,0.952,1.6,0.75,1666
2024-01-06,4,水城古镇,1800,ancient_town,7.4,11.1,5.8,1.4,0.0,51,小雨,0,,1,0,6,0.9,0.97,1.6,0.75,1088
2024-01-06,5,明湖国家湿地公园,1750,wetland,7.4,11.1,5.8,1.4,0.0,51,小雨,0,,1,0,6,0.8,0.971,1.6,0.75,792
2024-01-07,1,梅花山风景区,2400,mountain,8.7,13.1,6.3,5.4,0.0,63,中雨,0,,1,0,7,0.64,0.96,1.6,0.75,1137
2024-01-07,2,玉舍国家森林公园,2300,forest,8.7,13.1,6.3,5.4,0.0,63,中雨,0,,1,0,7,0.64,0.962,1.6,0.75,819
2024-01-07,3,乌蒙大草原,2857,grassland,8.7,13.1,6.3,5.4,0.0,63,中雨,0,,1,0,7,0.64,0.952,1.6,0.75,1144
2024-01-07,4,水城古镇,1800,ancient_town,8.7,13.1,6.3,5.4,0.0,63,中雨,0,,1,0,7,0.846,0.97,1.6,0.75,954
2024-01-07,5,明湖国家湿地公园,1750,wetland,8.7,13.1,6.3,5.4,0.0,63,中雨,0,,1,0,7,0.512,0.971,1.6,0.75,512
2024-01-08,1,梅花山风景区,2400,mountain,7.8,13.9,5.7,0.2,0.0,51,小雨,0,,0,0,1,0.8,0.96,1.0,0.75,901
2024-01-08,2,玉舍国家森林公园,2300,forest,7.8,13.9,5.7,0.2,0.0,51,小雨,0,,0,0,1,0.8,0.962,1.0,0.75,715
2024-01-08,3,乌蒙大草原,2857,grassland,7.8,13.9,5.7,0.2,0.0,51,小雨,0,,0,0,1,0.8,0.952,1.0,0.75,965
2024-01-08,4,水城古镇,1800,ancient_town,7.8,13.9,5.7,0.2,0.0,51,小雨,0,,0,0,1,0.9,0.97,1.0,0.75,682
2024-01-08,5,明湖国家湿地公园,1750,wetland,7.8,13.9,5.7,0.2,0.0,51,小雨,0,,0,0,1,0.8,0.971,1.0,0.75,497
2024-01-09,1,梅花山风景区,2400,mountain,7.5,11.3,4.0,0.0,0.0,3,阴,0,,0,0,2,0.8,0.96,1.0,0.75,860
2024-01-09,2,玉舍国家森林公园,2300,forest,7.5,11.3,4.0,0.0,0.0,3,阴,0,,0,0,2,0.8,0.962,1.0,0.75,682
2024-01-09,3,乌蒙大草原,2857,grassland,7.5,11.3,4.0,0.0,0.0,3,阴,0,,0,0,2,0.8,0.952,1.0,0.75,1034
2024-01-09,4,水城古镇,1800,ancient_town,7.5,11.3,4.0,0.0,0.0,3,阴,0,,0,0,2,0.9,0.97,1.0,0.75,681
2024-01-09,5,明湖国家湿地公园,1750,wetland,7.5,11.3,4.0,0.0,0.0,3,阴,0,,0,0,2,0.8,0.971,1.0,0.75,540
2024-01-10,1,梅花山风景区,2400,mountain,6.5,9.0,4.8,0.3,0.0,51,小雨,0,,0,0,3,0.8,0.96,1.0,0.75,879
2024-01-10,2,玉舍国家森林公园,2300,forest,6.5,9.0,4.8,0.3,0.0,51,小雨,0,,0,0,3,0.8,0.962,1.0,0.75,714
2024-01-10,3,乌蒙大草原,2857,grassland,6.5,9.0,4.8,0.3,0.0,51,小雨,0,,0,0,3,0.8,0.952,1.0,0.75,1053
2024-01-10,4,水城古镇,1800,ancient_town,6.5,9.0,4.8,0.3,0.0,51,小雨,0,,0,0,3,0.9,0.97,1.0,0.75,634
2024-01-10,5,明湖国家湿地公园,1750,wetland,6.5,9.0,4.8,0.3,0.0,51,小雨,0,,0,0,3,0.8,0.971,1.0,0.75,505
2024-01-11,1,梅花山风景区,2400,mountain,7.6,11.4,5.1,6.1,0.0,61,小雨,0,,0,0,4,0.64,0.96,1.0,0.75,674
2024-01-11,2,玉舍国家森林公园,2300,forest,7.6,11.4,5.1,6.1,0.0,61,小雨,0,,0,0,4,0.64,0.962,1.0,0.75,567
2024-01-11,3,乌蒙大草原,2857,grassland,7.6,11.4,5.1,6.1,0.0,61,小雨,0,,0,0,4,0.64,0.952,1.0,0.75,812
2024-01-11,4,水城古镇,1800,ancient_town,7.6,11.4,5.1,6.1,0.0,61,小雨,0,,0,0,4,0.846,0.97,1.0,0.75,687
2024-01-11,5,明湖国家湿地公园,1750,wetland,7.6,11.4,5.1,6.1,0.0,61,小雨,0,,0,0,4,0.512,0.971,1.0,0.75,321
2024-01-12,1,梅花山风景区,2400,mountain,8.9,13.4,7.3,1.1,0.0,51,小雨,0,,0,0,5,0.8,0.96,1.0,0.75,816
2024-01-12,2,玉舍国家森林公园,2300,forest,8.9,13.4,7.3,1.1,0.0,51,小雨,0,,0,0,5,0.8,0.962,1.0,0.75,719
2024-01-12,3,乌蒙大草原,2857,grassland,8.9,13.4,7.3,1.1,0.0,51,小雨,0,,0,0,5,0.8,0.952,1.0,0.75,1101
2024-01-12,4,水城古镇,1800,ancient_town,8.9,13.4,7.3,1.1,0.0,51,小雨,0,,0,0,5,0.9,0.97,1.0,0.75,671
2024-01-12,5,明湖国家湿地公园,1750,wetland,8.9,13.4,7.3,1.1,0.0,51,小雨,0,,0,0,5,0.8,0.971,1.0,0.75,546
2024-01-13,1,梅花山风景区,2400,mountain,10.5,16.6,7.3,0.0,0.0,3,阴,0,,1,0,6,0.8,0.96,1.6,0.75,1480
2024-01-13,2,玉舍国家森林公园,2300,forest,10.5,16.6,7.3,0.0,0.0,3,阴,0,,1,0,6,0.8,0.962,1.6,0.75,1102
2024-01-13,3,乌蒙大草原,2857,grassland,10.5,16.6,7.3,0.0,0.0,3,阴,0,,1,0,6,0.8,0.952,1.6,0.75,1528
2024-01-13,4,水城古镇,1800,ancient_town,10.5,16.6,7.3,0.0,0.0,3,阴,0,,1,0,6,0.9,0.97,1.6,0.75,1019
2024-01-13,5,明湖国家湿地公园,1750,wetland,10.5,16.6,7.3,0.0,0.0,3,阴,0,,1,0,6,0.8,0.971,1.6,0.75,878
2024-01-14,1,梅花山风景区,2400,mountain,10.2,15.4,6.8,0.2,0.0,51,小雨,0,,1,0,7,0.8,0.96,1.6,0.75,1282
2024-01-14,2,玉舍国家森林公园,2300,forest,10.2,15.4,6.8,0.2,0.0,51,小雨,0,,1,0,7,0.8,0.962,1.6,0.75,1109
2024-01-14,3,乌蒙大草原,2857,grassland,10.2,15.4,6.8,0.2,0.0,51,小雨,0,,1,0,7,0.8,0.952,1.6,0.75,1666
2024-01-14,4,水城古镇,1800,ancient_town,10.2,15.4,6.8,0.2,0.0,51,小雨,0,,1,0,7,0.9,0.97,1.6,0.75,1031
2024-01-14,5,明湖国家湿地公园,1750,wetland,10.2,15.4,6.8,0.2,0.0,51,小雨,0,,1,0,7,0.8,0.971,1.6,0.75,869
2024-01-15,1,梅花山风景区,2400,mountain,11.8,18.2,8.7,0.9,0.0,51,小雨,0,,0,0,1,0.8,0.96,1.0,0.75,889
2024-01-15,2,玉舍国家森林公园,2300,forest,11.8,18.2,8.7,0.9,0.0,51,小雨,0,,0,0,1,0.8,0.962,1.0,0.75,772
2024-01-15,3,乌蒙大草原,2857,grassland,11.8,18.2,8.7,0.9,0.0,51,小雨,0,,0,0,1,0.8,0.952,1.0,0.75,1060
2024-01-15,4,水城古镇,1800,ancient_town,11.8,18.2,8.7,0.9,0.0,51,小雨,0,,0,0,1,0.9,0.97,1.0,0.75,634
2024-01-15,5,明湖国家湿地公园,1750,wetland,11.8,18.2,8.7,0.9,0.0,51,小雨,0,,0,0,1,0.8,0.971,1.0,0.75,509
2024-01-16,1,梅花山风景区,2400,mountain,11.3,17.8,7.8,0.2,0.0,51,小雨,0,,0,0,2,0.8,0.96,1.0,0.75,828
2024-01-16,2,玉舍国家森林公园,2300,forest,11.3,17.8,7.8,0.2,0.0,51,小雨,0,,0,0,2,0.8,0.962,1.0,0.75,725
2024-01-16,3,乌蒙大草原,2857,grassland,11.3,17.8,7.8,0.2,0.0,51,小雨,0,,0,0,2,0.8,0.952,1.0,0.75,999
2024-01-16,4,水城古镇,1800,ancient_town,11.3,17.8,7.8,0.2,0.0,51,小雨,0,,0,0,2,0.9,0.97,1.0,0.75,652
2024-01-16,5,明湖国家湿地公园,1750,wetland,11.3,17.8,7.8,0.2,0.0,51,小雨,0,,0,0,2,0.8,0.971,1.0,0.75,543
2024-01-17,1,梅花山风景区,2400,mountain,10.7,15.6,7.8,0.7,0.0,51,小雨,0,,0,0,3,0.8,0.96,1.0,0.75,832
2024-01-17,2,玉舍国家森林公园,2300,forest,10.7,15.6,7.8,0.7,0.0,51,小雨,0,,0,0,3,0.8,0.962,1.0,0.75,682
2024-01-17,3,乌蒙大草原,2857,grassland,10.7,15.6,7.8,0.7,0.0,51,小雨,0,,0,0,3,0.8,0.952,1.0,0.75,933
2024-01-17,4,水城古镇,1800,ancient_town,10.7,15.6,7.8,0.7,0.0,51,小雨,0,,0,0,3,0.9,0.97,1.0,0.75,619
2024-01-17,5,明湖国家湿地公园,1750,wetland,10.7,15.6,7.8,0.7,0.0,51,小雨,0,,0,0,3,0.8,0.971,1.0,0.75,509
2024-01-18,1,梅花山风景区,2400,mountain,10.6,18.9,5.2,0.0,0.0,3,阴,0,,0,0,4,0.8,0.96,1.0,0.75,881
2024-01-18,2,玉舍国家森林公园,2300,forest,10.6,18.9,5.2,0.0,0.0,3,阴,0,,0,0,4,0.8,0.962,1.0,0.75,733
2024-01-18,3,乌蒙大草原,2857,grassland,10.6,18.9,5.2,0.0,0.0,3,阴,0,,0,0,4,0.8,0.952,1.0,0.75,1027
2024-01-18,4,水城古镇,1800,ancient_town,10.6,18.9,5.2,0.0,0.0,3,阴,0,,0,0,4,0.9,0.97,1.0,0.75,663
2024-01-18,5,明湖国家湿地公园,1750,wetland,10.6,18.9,5.2,0.0,0.0,3,阴,0,,0,0,4,0.8,0.971,1.0,0.75,528
2024-01-19,1,梅花山风景区,2400,mountain,7.1,11.0,4.1,5.5,0.0,63,中雨,0,,0,0,5,0.64,0.96,1.0,0.75,728
2024-01-19,2,玉舍国家森林公园,2300,forest,7.1,11.0,4.1,5.5,0.0,63,中雨,0,,0,0,5,0.64,0.962,1.0,0.75,578
2024-01-19,3,乌蒙大草原,2857,grassland,7.1,11.0,4.1,5.5,0.0,63,中雨,0,,0,0,5,0.64,0.952,1.0,0.75,834
2024-01-19,4,水城古镇,1800,ancient_town,7.1,11.0,4.1,5.5,0.0,63,中雨,0,,0,0,5,0.846,0.97,1.0,0.75,584
2024-01-19,5,明湖国家湿地公园,1750,wetland,7.1,11.0,4.1,5.5,0.0,63,中雨,0,,0,0,5,0.512,0.971,1.0,0.75,350
2024-01-20,1,梅花山风景区,2400,mountain,6.3,8.5,4.9,1.0,0.0,51,小雨,0,,1,0,6,0.8,0.96,1.6,0.75,1408
2024-01-20,2,玉舍国家森林公园,2300,forest,6.3,8.5,4.9,1.0,0.0,51,小雨,0,,1,0,6,0.8,0.962,1.6,0.75,1175
2024-01-20,3,乌蒙大草原,2857,grassland,6.3,8.5,4.9,1.0,0.0,51,小雨,0,,1,0,6,0.8,0.952,1.6,0.75,1643
2024-01-20,4,水城古镇,1800,ancient_town,6.3,8.5,4.9,1.0,0.0,51,小雨,0,,1,0,6,0.9,0.97,1.6,0.75,1149
2024-01-20,5,明湖国家湿地公园,1750,wetland,6.3,8.5,4.9,1.0,0.0,51,小雨,0,,1,0,6,0.8,0.971,1.6,0.75,823
2024-01-21,1,梅花山风景区,2400,mountain,4.4,6.2,0.8,6.2,1.12,73,中雪,0,,1,0,7,0.4,0.84,1.6,0.75,652
2024-01-21,2,玉舍国家森林公园,2300,forest,4.4,6.2,0.8,6.2,1.12,73,中雪,0,,1,0,7,0.4,0.847,1.6,0.75,490
2024-01-21,3,乌蒙大草原,2857,grassland,4.4,6.2,0.8,6.2,1.12,73,中雪,0,,1,0,7,0.4,0.81,1.6,0.75,681
2024-01-21,4,水城古镇,1800,ancient_town,4.4,6.2,0.8,6.2,1.12,73,中雪,0,,1,0,7,0.705,0.88,1.6,0.75,702
2024-01-21,5,明湖国家湿地公园,1750,wetland,4.4,6.2,0.8,6.2,1.12,73,中雪,0,,1,0,7,0.32,0.883,1.6,0.75,302
2024-01-22,1,梅花山风景区,2400,mountain,-1.2,1.4,-3.6,0.3,3.64,73,中雪,0,,0,0,1,0.6,0.84,1.0,0.75,607
2024-01-22,2,玉舍国家森林公园,2300,forest,-1.2,1.4,-3.6,0.3,3.64,73,中雪,0,,0,0,1,0.6,0.847,1.0,0.75,475
2024-01-22,3,乌蒙大草原,2857,grassland,-1.2,1.4,-3.6,0.3,3.64,73,中雪,0,,0,0,1,0.36,0.81,1.0,0.75,406
2024-01-22,4,水城古镇,1800,ancient_town,-1.2,1.4,-3.6,0.3,3.64,73,中雪,0,,0,0,1,0.45,0.88,1.0,0.75,261
2024-01-22,5,明湖国家湿地公园,1750,wetland,-1.2,1.4,-3.6,0.3,3.64,73,中雪,0,,0,0,1,0.3,0.883,1.0,0.75,185
2024-01-23,1,梅花山风景区,2400,mountain,-2.2,-0.2,-3.3,0.0,0.14,71,小雪,0,,0,0,2,0.5,0.84,1.0,0.75,485
2024-01-23,2,玉舍国家森林公园,2300,forest,-2.2,-0.2,-3.3,0.0,0.14,71,小雪,0,,0,0,2,0.5,0.847,1.0,0.75,370
2024-01-23,3,乌蒙大草原,2857,grassland,-2.2,-0.2,-3.3,0.0,0.14,71,小雪,0,,0,0,2,0.3,0.81,1.0,0.75,317
2024-01-23,4,水城古镇,1800,ancient_town,-2.2,-0.2,-3.3,0.0,0.14,71,小雪,0,,0,0,2,0.75,0.88,1.0,0.75,494
2024-01-23,5,明湖国家湿地公园,1750,wetland,-2.2,-0.2,-3.3,0.0,0.14,71,小雪,0,,0,0,2,0.5,0.883,1.0,0.75,323
2024-01-24,1,梅花山风景区,2400,mountain,-2.2,-0.2,-4.1,1.7,0.84,73,中雪,0,,0,0,3,0.5,0.84,1.0,0.75,447
2024-01-24,2,玉舍国家森林公园,2300,forest,-2.2,-0.2,-4.1,1.7,0.84,73,中雪,0,,0,0,3,0.5,0.847,1.0,0.75,372
2024-01-24,3,乌蒙大草原,2857,grassland,-2.2,-0.2,-4.1,1.7,0.84,73,中雪,0,,0,0,3,0.3,0.81,1.0,0.75,350
2024-01-24,4,水城古镇,1800,ancient_town,-2.2,-0.2,-4.1,1.7,0.84,73,中雪,0,,0,0,3,0.75,0.88,1.0,0.75,483
2024-01-24,5,明湖国家湿地公园,1750,wetland,-2.2,-0.2,-4.1,1.7,0.84,73,中雪,0,,0,0,3,0.5,0.883,1.0,0.75,292
2024-01-25,1,梅花山风景区,2400,mountain,-2.0,0.4,-3.9,0.3,0.21,71,小雪,0,,0,0,4,0.5,0.84,1.0,0.75,474
2024-01-25,2,玉舍国家森林公园,2300,forest,-2.0,0.4,-3.9,0.3,0.21,71,小雪,0,,0,0,4,0.5,0.847,1.0,0.75,357
2024-01-25,3,乌蒙大草原,2857,grassland,-2.0,0.4,-3.9,0.3,0.21,71,小雪,0,,0,0,4,0.3,0.81,1.0,0.75,331
2024-01-25,4,水城古镇,1800,ancient_town,-2.0,0.4,-3.9,0.3,0.21,71,小雪,0,,0,0,4,0.75,0.88,1.0,0.75,465
2024-01-25,5,明湖国家湿地公园,1750,wetland,-2.0,0.4,-3.9,0.3,0.21,71,小雪,0,,0,0,4,0.5,0.883,1.0,0.75,311
2024-01-26,1,梅花山风景区,2400,mountain,-1.6,0.6,-3.5,0.2,0.07,71,小雪,0,,0,0,5,0.5,0.84,1.0,0.75,472
2024-01-26,2,玉舍国家森林公园,2300,forest,-1.6,0.6,-3.5,0.2,0.07,71,小雪,0,,0,0,5,0.5,0.847,1.0,0.75,424
2024-01-26,3,乌蒙大草原,2857,grassland,-1.6,0.6,-3.5,0.2,0.07,71,小雪,0,,0,0,5,0.3,0.81,1.0,0.75,332
2024-01-26,4,水城古镇,1800,ancient_town,-1.6,0.6,-3.5,0.2,0.07,71,小雪,0,,0,0,5,0.75,0.88,1.0,0.75,528
2024-01-26,5,明湖国家湿地公园,1750,wetland,-1.6,0.6,-3.5,0.2,0.07,71,小雪,0,,0,0,5,0.5,0.883,1.0,0.75,278
2024-01-27,1,梅花山风景区,2400,mountain,-0.7,2.2,-2.5,0.1,0.07,71,小雪,0,,1,0,6,0.5,0.84,1.6,0.75,751
2024-01-27,2,玉舍国家森林公园,2300,forest,-0.7,2.2,-2.5,0.1,0.07,71,小雪,0,,1,0,6,0.5,0.847,1.6,0.75,619
2024-01-27,3,乌蒙大草原,2857,grassland,-0.7,2.2,-2.5,0.1,0.07,71,小雪,0,,1,0,6,0.3,0.81,1.6,0.75,570
2024-01-27,4,水城古镇,1800,ancient_town,-0.7,2.2,-2.5,0.1,0.07,71,小雪,0,,1,0,6,0.75,0.88,1.6,0.75,725
2024-01-27,5,明湖国家湿地公园,1750,wetland,-0.7,2.2,-2.5,0.1,0.07,71,小雪,0,,1,0,6,0.5,0.883,1.6,0.75,500
2024-01-28,1,梅花山风景区,2400,mountain,0.1,2.7,-1.9,0.2,0.07,71,小雪,0,,1,0,7,0.5,0.84,1.6,0.75,778
2024-01-28,2,玉舍国家森林公园,2300,forest,0.1,2.7,-1.9,0.2,0.07,71,小雪,0,,1,0,7,0.5,0.847,1.6,0.75,656
2024-01-28,3,乌蒙大草原,2857,grassland,0.1,2.7,-1.9,0.2,0.07,71,小雪,0,,1,0,7,0.5,0.81,1.6,0.75,905
2024-01-28,4,水城古镇,1800,ancient_town,0.1,2.7,-1.9,0.2,0.07,71,小雪,0,,1,0,7,0.75,0.88,1.6,0.75,794
2024-01-28,5,明湖国家湿地公园,1750,wetland,0.1,2.7,-1.9,0.2,0.07,71,小雪,0,,1,0,7,0.5,0.883,1.6,0.75,464
2024-01-29,1,梅花山风景区,2400,mountain,4.5,12.3,0.4,0.0,0.0,3,阴,0,,0,0,1,0.5,0.84,1.0,0.75,443
2024-01-29,2,玉舍国家森林公园,2300,forest,4.5,12.3,0.4,0.0,0.0,3,阴,0,,0,0,1,0.5,0.847,1.0,0.75,384
2024-01-29,3,乌蒙大草原,2857,grassland,4.5,12.3,0.4,0.0,0.0,3,阴,0,,0,0,1,0.5,0.81,1.0,0.75,541
2024-01-29,4,水城古镇,1800,ancient_town,4.5,12.3,0.4,0.0,0.0,3,阴,0,,0,0,1,0.75,0.88,1.0,0.75,545
2024-01-29,5,明湖国家湿地公园,1750,wetland,4.5,12.3,0.4,0.0,0.0,3,阴,0,,0,0,1,0.5,0.883,1.0,0.75,289
2024-01-30,1,梅花山风景区,2400,mountain,7.3,15.8,2.3,1.1,0.0,53,中雨,0,,0,0,2,0.8,0.96,1.0,0.75,877
2024-01-30,2,玉舍国家森林公园,2300,forest,7.3,15.8,2.3,1.1,0.0,53,中雨,0,,0,0,2,0.8,0.962,1.0,0.75,638
2024-01-30,3,乌蒙大草原,2857,grassland,7.3,15.8,2.3,1.1,0.0,53,中雨,0,,0,0,2,0.8,0.952,1.0,0.75,1008
2024-01-30,4,水城古镇,1800,ancient_town,7.3,15.8,2.3,1.1,0.0,53,中雨,0,,0,0,2,0.9,0.97,1.0,0.75,663
2024-01-30,5,明湖国家湿地公园,1750,wetland,7.3,15.8,2.3,1.1,0.0,53,中雨,0,,0,0,2,0.8,0.971,1.0,0.75,545
2024-01-31,1,梅花山风景区,2400,mountain,10.6,17.7,5.1,0.0,0.0,3,阴,0,,0,0,3,0.8,0.96,1.0,0.75,926
2024-01-31,2,玉舍国家森林公园,2300,forest,10.6,17.7,5.1,0.0,0.0,3,阴,0,,0,0,3,0.8,0.962,1.0,0.75,690
2024-01-31,3,乌蒙大草原,2857,grassland,10.6,17.7,5.1,0.0,0.0,3,阴,0,,0,0,3,0.8,0.952,1.0,0.75,971
2024-01-31,4,水城古镇,1800,ancient_town,10.6,17.7,5.1,0.0,0.0,3,阴,0,,0,0,3,0.9,0.97,1.0,0.75,669
2024-01-31,5,明湖国家湿地公园,1750,wetland,10.6,17.7,5.1,0.0,0.0,3,阴,0,,0,0,3,0.8,0.971,1.0,0.75,537
2024-02-01,1,梅花山风景区,2400,mountain,6.8,15.3,0.2,0.1,0.0,51,小雨,0,,0,0,4,0.8,0.96,1.0,0.75,885
2024-02-01,2,玉舍国家森林公园,2300,forest,6.8,15.3,0.2,0.1,0.0,51,小雨,0,,0,0,4,0.8,0.962,1.0,0.75,668
2024-02-01,3,乌蒙大草原,2857,grassland,6.8,15.3,0.2,0.1,0.0,51,小雨,0,,0,0,4,0.8,0.952,1.0,0.75,1086
2024-02-01,4,水城古镇,1800,ancient_town,6.8,15.3,0.2,0.1,0.0,51,小雨,0,,0,0,4,0.9,0.97,1.0,0.75,657
2024-02-01,5,明湖国家湿地公园,1750,wetland,6.8,15.3,0.2,0.1,0.0,51,小雨,0,,0,0,4,0.8,0.971,1.0,0.75,542
2024-02-02,1,梅花山风景区,2400,mountain,10.5,18.7,4.8,0.6,0.0,51,小雨,0,,0,0,5,0.8,0.96,1.0,0.75,919
2024-02-02,2,玉舍国家森林公园,2300,forest,10.5,18.7,4.8,0.6,0.0,51,小雨,0,,0,0,5,0.8,0.962,1.0,0.75,713
2024-02-02,3,乌蒙大草原,2857,grassland,10.5,18.7,4.8,0.6,0.0,51,小雨,0,,0,0,5,0.8,0.952,1.0,0.75,1043
2024-02-02,4,水城古镇,1800,ancient_town,10.5,18.7,4.8,0.6,0.0,51,小雨,0,,0,0,5,0.9,0.97,1.0,0.75,725
2024-02-02,5,明湖国家湿地公园,1750,wetland,10.5,18.7,4.8,0.6,0.0,51,小雨,0,,0,0,5,0.8,0.971,1.0,0.75,530
2024-02-03,1,梅花山风景区,2400,mountain,7.1,12.3,1.1,8.4,0.0,63,中雨,0,,1,0,6,0.64,0.96,1.6,0.75,1089
2024-02-03,2,玉舍国家森林公园,2300,forest,7.1,12.3,1.1,8.4,0.0,63,中雨,0,,1,0,6,0.64,0.962,1.6,0.75,891
2024-02-03,3,乌蒙大草原,2857,grassland,7.1,12.3,1.1,8.4,0.0,63,中雨,0,,1,0,6,0.64,0.952,1.6,0.75,1414
2024-02-03,4,水城古镇,1800,ancient_town,7.1,12.3,1.1,8.4,0.0,63,中雨,0,,1,0,6,0.846,0.97,1.6,0.75,990
2024-02-03,5,明湖国家湿地公园,1750,wetland,7.1,12.3,1.1,8.4,0.0,63,中雨,0,,1,0,6,0.512,0.971,1.6,0.75,550
2024-02-04,1,梅花山风景区,2400,mountain,6.7,14.4,0.9,0.2,0.0,51,小雨,0,,1,0,7,0.8,0.96,1.6,0.75,1465
2024-02-04,2,玉舍国家森林公园,2300,forest,6.7,14.4,0.9,0.2,0.0,51,小雨,0,,1,0,7,0.8,0.962,1.6,0.75,1079
2024-02-04,3,乌蒙大草原,2857,grassland,6.7,14.4,0.9,0.2,0.0,51,小雨,0,,1,0,7,0.8,0.952,1.6,0.75,1503
2024-02-04,4,水城古镇,1800,ancient_town,6.7,14.4,0.9,0.2,0.0,51,小雨,0,,1,0,7,0.9,0.97,1.6,0.75,1063
